,Building_Painted,Building Dimension,Building_Type,Geo_Code,Claim,Windows,Building Dimensionis missing,Date_of_Occupancyis missing,Insured_time,Building_Class,Building_category,Building_age
0,N,290.0,1,1053,0,0,False,False,4,old,Urban Non-Residential,53.0
1,V,490.0,1,1053,0,2,False,False,4,modern,Rural Non-Residential,85.0
2,N,595.0,1,1053,0,0,False,False,4,old,Urban Non-Residential,54.0
3,V,2840.0,1,1053,0,0,False,False,4,old,Urban Non-Residential,53.0
4,V,680.0,1,1053,0,1,False,False,4,modern,Rural Non-Residential,84.0
5,V,535.0,1,1143,0,1,False,False,4,modern,Rural Non-Residential,32.0
6,N,2830.0,1,1143,0,0,False,False,4,old,Urban Non-Residential,24.0
7,N,4827.75,1,1160,0,0,False,False,4,old,Urban Non-Residential,27.0
8,V,2735.0,1,1173,1,1,False,False,4,modern,Rural Non-Residential,4.0
9,V,520.0,1,1224,0,1,False,False,4,modern,Rural Non-Residential,5.0
10,V,550.0,1,1283,0,1,False,False,1,modern,Rural Non-Residential,53.0
11,V,910.0,1,1283,0,0,False,False,4,old,Urban Non-Residential,53.0
12,V,842.0,1,1305,0,2,False,False,4,modern,Rural Non-Residential,83.0
13,V,300.0,1,1305,0,1,False,False,2,modern,Rural Non-Residential,84.0
14,N,560.0,1,1363,0,0,False,False,4,old,Urban Non-Residential,52.0
15,V,3326.0,1,1419,1,2,False,False,4,modern,Rural Non-Residential,5.0
16,N,3990.0,1,1419,1,0,False,False,4,old,Urban Non-Residential,26.0
17,N,3990.0,1,1419,0,0,False,False,4,old,Urban Non-Residential,27.0
18,V,2444.0,1,2059,0,2,False,False,4,modern,Rural Non-Residential,45.0
19,V,2444.0,1,2059,0,2,False,False,4,modern,Rural Non-Residential,46.0
20,V,1626.0,1,2173,0,1,False,False,2,modern,Rural Non-Residential,66.0
21,V,2400.0,1,2408,0,1,False,False,3,modern,Rural Non-Residential,86.0
22,V,250.0,1,2408,0,2,False,False,4,modern,Rural Non-Residential,82.0
23,V,2300.0,1,2722,1,2,False,False,4,modern,Rural Residential,42.0
24,N,600.0,1,3095,0,0,False,False,3,old,Urban Non-Residential,36.0
25,V,4827.75,1,3190,0,4,False,False,4,modern,Rural Non-Residential,36.0
26,V,4827.75,1,3190,1,4,False,False,4,modern,Rural Non-Residential,38.0
